sector_id,row,col,x,y,neighbors,true_status,uav_status,label,time_step
0,0,0,0.0,0.0,"1,10,11",0,2,healthy,0
1,0,1,1.0,0.0,"0,2,10,11,12",0,2,healthy,0
2,0,2,2.0,0.0,"1,3,11,12,13",0,2,healthy,0
3,0,3,3.0,0.0,"2,4,12,13,14",0,2,healthy,0
4,0,4,4.0,0.0,"3,5,13,14,15",0,2,healthy,0
5,0,5,5.0,0.0,"4,6,14,15,16",0,2,healthy,0
6,0,6,6.0,0.0,"5,7,15,16,17",0,2,healthy,0
7,0,7,7.0,0.0,"6,8,16,17,18",0,2,healthy,0
8,0,8,8.0,0.0,"7,9,17,18,19",0,2,healthy,0
9,0,9,9.0,0.0,"8,18,19",0,2,healthy,0
10,1,0,0.0,1.0,"0,1,11,20,21",0,2,healthy,0
11,1,1,1.0,1.0,"0,1,2,10,12,20,21,22",0,2,healthy,0
12,1,2,2.0,1.0,"1,2,3,11,13,21,22,23",0,2,healthy,0
13,1,3,3.0,1.0,"2,3,4,12,14,22,23,24",0,2,healthy,0
14,1,4,4.0,1.0,"3,4,5,13,15,23,24,25",0,2,healthy,0
15,1,5,5.0,1.0,"4,5,6,14,16,24,25,26",0,2,healthy,0
16,1,6,6.0,1.0,"5,6,7,15,17,25,26,27",0,2,healthy,0
17,1,7,7.0,1.0,"6,7,8,16,18,26,27,28",0,2,healthy,0
18,1,8,8.0,1.0,"7,8,9,17,19,27,28,29",0,2,healthy,0
19,1,9,9.0,1.0,"8,9,18,28,29",0,2,healthy,0
20,2,0,0.0,2.0,"10,11,21,30,31",0,2,healthy,0
21,2,1,1.0,2.0,"10,11,12,20,22,30,31,32",0,2,healthy,0
22,2,2,2.0,2.0,"11,12,13,21,23,31,32,33",1,2,infected,0
23,2,3,3.0,2.0,"12,13,14,22,24,32,33,34",0,2,healthy,0
24,2,4,4.0,2.0,"13,14,15,23,25,33,34,35",0,2,healthy,0
25,2,5,5.0,2.0,"14,15,16,24,26,34,35,36",0,2,healthy,0
26,2,6,6.0,2.0,"15,16,17,25,27,35,36,37",0,2,healthy,0
27,2,7,7.0,2.0,"16,17,18,26,28,36,37,38",0,2,healthy,0
28,2,8,8.0,2.0,"17,18,19,27,29,37,38,39",0,2,healthy,0
29,2,9,9.0,2.0,"18,19,28,38,39",0,2,healthy,0
30,3,0,0.0,3.0,"20,21,31,40,41",0,2,healthy,0
31,3,1,1.0,3.0,"20,21,22,30,32,40,41,42",0,2,healthy,0
32,3,2,2.0,3.0,"21,22,23,31,33,41,42,43",0,2,healthy,0
33,3,3,3.0,3.0,"22,23,24,32,34,42,43,44",0,2,healthy,0
34,3,4,4.0,3.0,"23,24,25,33,35,43,44,45",0,2,healthy,0
35,3,5,5.0,3.0,"24,25,26,34,36,44,45,46",0,2,healthy,0
36,3,6,6.0,3.0,"25,26,27,35,37,45,46,47",0,2,healthy,0
37,3,7,7.0,3.0,"26,27,28,36,38,46,47,48",0,2,healthy,0
38,3,8,8.0,3.0,"27,28,29,37,39,47,48,49",0,2,healthy,0
39,3,9,9.0,3.0,"28,29,38,48,49",0,2,healthy,0
40,4,0,0.0,4.0,"30,31,41,50,51",0,2,healthy,0
41,4,1,1.0,4.0,"30,31,32,40,42,50,51,52",0,2,healthy,0
42,4,2,2.0,4.0,"31,32,33,41,43,51,52,53",0,2,healthy,0
43,4,3,3.0,4.0,"32,33,34,42,44,52,53,54",0,2,healthy,0
44,4,4,4.0,4.0,"33,34,35,43,45,53,54,55",0,2,healthy,0
45,4,5,5.0,4.0,"34,35,36,44,46,54,55,56",0,2,healthy,0
46,4,6,6.0,4.0,"35,36,37,45,47,55,56,57",0,2,healthy,0
47,4,7,7.0,4.0,"36,37,38,46,48,56,57,58",0,2,healthy,0
48,4,8,8.0,4.0,"37,38,39,47,49,57,58,59",0,2,healthy,0
49,4,9,9.0,4.0,"38,39,48,58,59",0,2,healthy,0
50,5,0,0.0,5.0,"40,41,51,60,61",0,2,healthy,0
51,5,1,1.0,5.0,"40,41,42,50,52,60,61,62",0,2,healthy,0
52,5,2,2.0,5.0,"41,42,43,51,53,61,62,63",0,2,healthy,0
53,5,3,3.0,5.0,"42,43,44,52,54,62,63,64",0,2,healthy,0
54,5,4,4.0,5.0,"43,44,45,53,55,63,64,65",0,2,healthy,0
55,5,5,5.0,5.0,"44,45,46,54,56,64,65,66",1,2,infected,0
56,5,6,6.0,5.0,"45,46,47,55,57,65,66,67",0,2,healthy,0
57,5,7,7.0,5.0,"46,47,48,56,58,66,67,68",0,2,healthy,0
58,5,8,8.0,5.0,"47,48,49,57,59,67,68,69",0,2,healthy,0
59,5,9,9.0,5.0,"48,49,58,68,69",0,2,healthy,0
60,6,0,0.0,6.0,"50,51,61,70,71",0,2,healthy,0
61,6,1,1.0,6.0,"50,51,52,60,62,70,71,72",0,2,healthy,0
62,6,2,2.0,6.0,"51,52,53,61,63,71,72,73",0,2,healthy,0
63,6,3,3.0,6.0,"52,53,54,62,64,72,73,74",0,2,healthy,0
64,6,4,4.0,6.0,"53,54,55,63,65,73,74,75",0,2,healthy,0
65,6,5,5.0,6.0,"54,55,56,64,66,74,75,76",0,2,healthy,0
66,6,6,6.0,6.0,"55,56,57,65,67,75,76,77",0,2,healthy,0
67,6,7,7.0,6.0,"56,57,58,66,68,76,77,78",0,2,healthy,0
68,6,8,8.0,6.0,"57,58,59,67,69,77,78,79",0,2,healthy,0
69,6,9,9.0,6.0,"58,59,68,78,79",0,2,healthy,0
70,7,0,0.0,7.0,"60,61,71,80,81",0,2,healthy,0
71,7,1,1.0,7.0,"60,61,62,70,72,80,81,82",0,2,healthy,0
72,7,2,2.0,7.0,"61,62,63,71,73,81,82,83",0,2,healthy,0
73,7,3,3.0,7.0,"62,63,64,72,74,82,83,84",0,2,healthy,0
74,7,4,4.0,7.0,"63,64,65,73,75,83,84,85",0,2,healthy,0
75,7,5,5.0,7.0,"64,65,66,74,76,84,85,86",0,2,healthy,0
76,7,6,6.0,7.0,"65,66,67,75,77,85,86,87",0,2,healthy,0
77,7,7,7.0,7.0,"66,67,68,76,78,86,87,88",1,2,infected,0
78,7,8,8.0,7.0,"67,68,69,77,79,87,88,89",0,2,healthy,0
79,7,9,9.0,7.0,"68,69,78,88,89",0,2,healthy,0
80,8,0,0.0,8.0,"70,71,81,90,91",0,2,healthy,0
81,8,1,1.0,8.0,"70,71,72,80,82,90,91,92",0,2,healthy,0
82,8,2,2.0,8.0,"71,72,73,81,83,91,92,93",0,2,healthy,0
83,8,3,3.0,8.0,"72,73,74,82,84,92,93,94",0,2,healthy,0
84,8,4,4.0,8.0,"73,74,75,83,85,93,94,95",0,2,healthy,0
85,8,5,5.0,8.0,"74,75,76,84,86,94,95,96",0,2,healthy,0
86,8,6,6.0,8.0,"75,76,77,85,87,95,96,97",0,2,healthy,0
87,8,7,7.0,8.0,"76,77,78,86,88,96,97,98",0,2,healthy,0
88,8,8,8.0,8.0,"77,78,79,87,89,97,98,99",0,2,healthy,0
89,8,9,9.0,8.0,"78,79,88,98,99",0,2,healthy,0
90,9,0,0.0,9.0,"80,81,91",0,2,healthy,0
91,9,1,1.0,9.0,"80,81,82,90,92",0,2,healthy,0
92,9,2,2.0,9.0,"81,82,83,91,93",0,2,healthy,0
93,9,3,3.0,9.0,"82,83,84,92,94",0,2,healthy,0
94,9,4,4.0,9.0,"83,84,85,93,95",0,2,healthy,0
95,9,5,5.0,9.0,"84,85,86,94,96",0,2,healthy,0
96,9,6,6.0,9.0,"85,86,87,95,97",0,2,healthy,0
97,9,7,7.0,9.0,"86,87,88,96,98",0,2,healthy,0
98,9,8,8.0,9.0,"87,88,89,97,99",0,2,healthy,0
99,9,9,9.0,9.0,"88,89,98",0,2,healthy,0
