time_step,sector_id,row,col,x,y,true_status,label,treatment_timer,wind_speed,wind_direction,humidity,season_multiplier,neighbors
0,0,0,0,0.0,0.0,0,healthy,0,5.75,43.62,56.94,0.8,"1,10,11"
0,1,0,1,1.0,0.0,0,healthy,0,5.75,43.62,56.94,0.8,"0,2,10,11,12"
0,2,0,2,2.0,0.0,0,healthy,0,5.75,43.62,56.94,0.8,"1,3,11,12,13"
0,3,0,3,3.0,0.0,0,healthy,0,5.75,43.62,56.94,0.8,"2,4,12,13,14"
0,4,0,4,4.0,0.0,0,healthy,0,5.75,43.62,56.94,0.8,"3,5,13,14,15"
0,5,0,5,5.0,0.0,0,healthy,0,5.75,43.62,56.94,0.8,"4,6,14,15,16"
0,6,0,6,6.0,0.0,0,healthy,0,5.75,43.62,56.94,0.8,"5,7,15,16,17"
0,7,0,7,7.0,0.0,0,healthy,0,5.75,43.62,56.94,0.8,"6,8,16,17,18"
0,8,0,8,8.0,0.0,0,healthy,0,5.75,43.62,56.94,0.8,"7,9,17,18,19"
0,9,0,9,9.0,0.0,0,healthy,0,5.75,43.62,56.94,0.8,"8,18,19"
0,10,1,0,0.0,1.0,0,healthy,0,5.75,43.62,56.94,0.8,"0,1,11,20,21"
0,11,1,1,1.0,1.0,0,healthy,0,5.75,43.62,56.94,0.8,"0,1,2,10,12,20,21,22"
0,12,1,2,2.0,1.0,0,healthy,0,5.75,43.62,56.94,0.8,"1,2,3,11,13,21,22,23"
0,13,1,3,3.0,1.0,0,healthy,0,5.75,43.62,56.94,0.8,"2,3,4,12,14,22,23,24"
0,14,1,4,4.0,1.0,0,healthy,0,5.75,43.62,56.94,0.8,"3,4,5,13,15,23,24,25"
0,15,1,5,5.0,1.0,0,healthy,0,5.75,43.62,56.94,0.8,"4,5,6,14,16,24,25,26"
0,16,1,6,6.0,1.0,0,healthy,0,5.75,43.62,56.94,0.8,"5,6,7,15,17,25,26,27"
0,17,1,7,7.0,1.0,0,healthy,0,5.75,43.62,56.94,0.8,"6,7,8,16,18,26,27,28"
0,18,1,8,8.0,1.0,0,healthy,0,5.75,43.62,56.94,0.8,"7,8,9,17,19,27,28,29"
0,19,1,9,9.0,1.0,0,healthy,0,5.75,43.62,56.94,0.8,"8,9,18,28,29"
0,20,2,0,0.0,2.0,0,healthy,0,5.75,43.62,56.94,0.8,"10,11,21,30,31"
0,21,2,1,1.0,2.0,0,healthy,0,5.75,43.62,56.94,0.8,"10,11,12,20,22,30,31,32"
0,22,2,2,2.0,2.0,1,infected,20,5.75,43.62,56.94,0.8,"11,12,13,21,23,31,32,33"
0,23,2,3,3.0,2.0,0,healthy,0,5.75,43.62,56.94,0.8,"12,13,14,22,24,32,33,34"
0,24,2,4,4.0,2.0,0,healthy,0,5.75,43.62,56.94,0.8,"13,14,15,23,25,33,34,35"
0,25,2,5,5.0,2.0,0,healthy,0,5.75,43.62,56.94,0.8,"14,15,16,24,26,34,35,36"
0,26,2,6,6.0,2.0,0,healthy,0,5.75,43.62,56.94,0.8,"15,16,17,25,27,35,36,37"
0,27,2,7,7.0,2.0,0,healthy,0,5.75,43.62,56.94,0.8,"16,17,18,26,28,36,37,38"
0,28,2,8,8.0,2.0,0,healthy,0,5.75,43.62,56.94,0.8,"17,18,19,27,29,37,38,39"
0,29,2,9,9.0,2.0,0,healthy,0,5.75,43.62,56.94,0.8,"18,19,28,38,39"
0,30,3,0,0.0,3.0,0,healthy,0,5.75,43.62,56.94,0.8,"20,21,31,40,41"
0,31,3,1,1.0,3.0,0,healthy,0,5.75,43.62,56.94,0.8,"20,21,22,30,32,40,41,42"
0,32,3,2,2.0,3.0,0,healthy,0,5.75,43.62,56.94,0.8,"21,22,23,31,33,41,42,43"
